attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Securities Company Organization Unit Id,Khóa đại diện cho đơn vị trực thuộc CTCK.,Surrogate Key,false,true,draft,,PK surrogate.,,
Securities Company Organization Unit Code,Mã định danh (tự động tăng). BK.,Text,false,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.ID,BK chính. PK nguồn.,,
Source System Code,Mã nguồn dữ liệu.,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. BK. Hardcode.,SOURCE_SYSTEM=SCMS.CTCK_PHONG_GIAO_DICH,
Organization Unit Type Code,Loại đơn vị trực thuộc: TRANSACTION_OFFICE — phòng giao dịch.,Classification Value,false,false,draft,,Scheme: SCMS_ORG_UNIT_TYPE. ETL-derived: hardcode TRANSACTION_OFFICE cho bảng này.,SCMS_ORG_UNIT_TYPE=TRANSACTION_OFFICE,TRANSACTION_OFFICE
Securities Company Id,FK đến công ty chứng khoán.,Surrogate Key,false,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Id.,,
Securities Company Code,Mã công ty chứng khoán.,Text,false,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.CTCK_THONG_TIN_ID,FK target: Securities Company.Securities Company Code. Pair with Securities Company Id.,,
Parent Organization Unit Id,FK đến chi nhánh quản lý (cấp cha).,Surrogate Key,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.CTCK_CHI_NHANH_ID,FK target: Securities Company Organization Unit.Securities Company Organization Unit Id. Self-join — PGD trực thuộc chi nhánh.,,
Parent Organization Unit Code,Mã chi nhánh quản lý.,Text,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.CTCK_CHI_NHANH_ID,FK target: Securities Company Organization Unit.Securities Company Organization Unit Code. Pair with Parent Organization Unit Id.,,
Organization Unit Name,Tên đầy đủ phòng giao dịch.,Text,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.TEN_DAY_DU,,,
Decision Number,Số quyết định thành lập/hoạt động.,Text,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.SO_QUYET_DINH,,,
Decision Date,Ngày quyết định.,Date,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.NGAY_QUYET_DINH,,,
Valid Document Date,Ngày hồ sơ hợp lệ.,Date,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.NGAY_HS_HOP_LE,,,
Representative Name,Người đại diện phòng giao dịch.,Text,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.NGUOI_DAI_DIEN,Denormalized — tên cá nhân đảm nhận chức vụ.,,
Organization Unit Status Code,Trạng thái phòng giao dịch.,Classification Value,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.TRANG_THAI_PGD,Scheme: SCMS_ORG_UNIT_STATUS.,,
Note,Ghi chú.,Text,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.GHI_CHU,,,
Is Draft Indicator,Cờ bảng tạm: 1-Bảng tạm; 0-Chính thức.,Indicator,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.IS_BANG_TAM,,,
Created Timestamp,Ngày tạo.,Timestamp,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.NGAY_TAO,,,
Updated Timestamp,Ngày cập nhật.,Timestamp,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.NGAY_CAP_NHAT,,,
Life Cycle Status Code,Trạng thái bản ghi chung.,Classification Value,true,false,draft,SCMS.CTCK_PHONG_GIAO_DICH.TRANG_THAI,Scheme: LIFE_CYCLE_STATUS. Cần profile data để xác định giá trị.,,
