gold_entity,table_type,status,description,source_table,FKs
Calendar Date Dimension,dim,draft,Lịch ngày — năm/quý/tháng/tuần phục vụ slicer và phân tích theo thời gian,Generated,
Securities Practitioner Dimension,dim,draft,Người hành nghề chứng khoán — tên/ngày sinh/quốc tịch/trình độ/trạng thái hành nghề,Securities Practitioner,
Securities Organization Reference Dimension,dim,draft,Tổ chức chứng khoán — tên/loại/trạng thái hoạt động,Securities Organization Reference,
Classification Dimension,dim,draft,Bảng phân loại chung — gộp tất cả classification value theo scheme: CERTIFICATE_TYPE/CERTIFICATE_STATUS/RELATIONSHIP_TYPE/CONDUCT_VIOLATION_TYPE/VIOLATION_STATUS/EXAMINATION_RESULT/TRAINING_RESULT/TT_CASE_STATUS/TT_PLAN_TYPE/TT_INSPECTION_SCHEDULE_TYPE/TT_SUBJECT_SOURCE_TYPE/TT_OTHER_PARTY_SUBTYPE/TT_VIOLATION_TYPE/TT_PENALTY_TYPE/TT_PETITION_TYPE/TT_PETITION_STATUS/TT_PARTY_TYPE,Classification Value,
Securities Practitioner Related Party Dimension,dim,draft,Người liên quan của NHN — tên/nghề nghiệp/nơi làm việc/năm sinh/quốc gia. Chứa cả NLQ là NHN lẫn không phải NHN,Securities Practitioner Related Party,
Securities Practitioner Organization Employment Report Dimension,dim,draft,Lượt công tác NHN tại tổ chức — chức vụ/phòng ban/ngày bắt đầu/ngày kết thúc,Securities Practitioner Organization Employment Report,
Securities Practitioner Qualification Examination Assessment Dimension,dim,draft,Đợt thi sát hạch CCHN — tên đợt/năm thi/ngày thi/đơn vị tổ chức/QĐ công nhận,Securities Practitioner Qualification Examination Assessment,
Securities Practitioner Professional Training Class Dimension,dim,draft,Khóa cập nhật kiến thức — tên khóa/năm học/ngày thi/mã khóa,Securities Practitioner Professional Training Class,
Fact Securities Practitioner Snapshot,fact,draft,Periodic snapshot NHN — chụp toàn bộ NHN mỗi ngày batch kèm thông tin CCHN đại diện/nơi công tác hiện tại,Securities Practitioner / Securities Practitioner License Certificate Document,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Organization Reference Dimension.Organization Dimension Id | Classification Dimension.Certificate Type Dimension Id
Fact Securities Practitioner License Certificate Document Snapshot,fact,draft,Periodic snapshot CCHN — chụp toàn bộ chứng chỉ hành nghề mỗi ngày batch với loại hình/trạng thái/ngày cấp/ngày thu hồi,Securities Practitioner License Certificate Document,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Organization Reference Dimension.Organization Dimension Id | Classification Dimension.Certificate Type Dimension Id | Classification Dimension.Certificate Status Dimension Id
Fact Securities Practitioner Conduct Violation,fact,draft,Event fact vi phạm NHN — ghi nhận từng sự kiện vi phạm hành chính/pháp luật với nội dung/quyết định/hình thức xử phạt,Securities Practitioner Conduct Violation,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Classification Dimension.Conduct Violation Type Dimension Id | Classification Dimension.Violation Status Dimension Id
Fact Securities Practitioner Organization Employment Report Snapshot,fact,draft,Factless periodic snapshot — ghi nhận quan hệ NHN với tổ chức qua các lượt công tác. Thông tin chi tiết lookup từ Securities Practitioner Organization Employment Report Dimension,Securities Practitioner Organization Employment Report,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Practitioner Organization Employment Report Dimension.Securities Practitioner Organization Employment Report Dimension Id | Securities Organization Reference Dimension.Organization Dimension Id
Fact Securities Practitioner Related Party Snapshot,fact,draft,Factless periodic snapshot — ghi nhận quan hệ gia đình NHN với người liên quan. Dữ liệu 2 chiều lấy as-is từ Silver,Securities Practitioner Related Party,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Practitioner Related Party Dimension.Related Party Dimension Id | Classification Dimension.Relationship Type Dimension Id
Fact Securities Practitioner Qualification Examination Assessment Result,fact,draft,Event fact kết quả thi sát hạch — ghi nhận điểm thi/kết quả per NHN per đợt thi,Securities Practitioner Qualification Examination Assessment Result,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Practitioner Qualification Examination Assessment Dimension.Securities Practitioner Qualification Examination Assessment Dimension Id | Classification Dimension.Examination Result Dimension Id
Fact Securities Practitioner Professional Training Class Enrollment,fact,draft,Event fact đăng ký khóa cập nhật kiến thức — ghi nhận điểm/kết quả per NHN per khóa học,Securities Practitioner Professional Training Class Enrollment,Calendar Date Dimension.Date Dimension Id | Securities Practitioner Dimension.Practitioner Dimension Id | Securities Practitioner Professional Training Class Dimension.Professional Training Class Dimension Id | Classification Dimension.Training Result Dimension Id
Inspection Case Dimension,dim,draft,Hồ sơ thanh tra kiểm tra — mã hồ sơ/tên hồ sơ/nội dung/mã lưu trữ (SCD2),Inspection Case,
Inspection Subject Dimension,dim,draft,Đối tượng thanh tra kiểm tra gộp từ 4 Silver entity — polymorphic BK cặp Subject Source Entity Code + Subject Source Reference Id. 2 tầng phân loại: Subject Source Type Code tầng 1 / Other Party Subtype Code tầng 2. SCD2,Securities Company / Fund Management Company / Public Company / Inspection Subject Other Party,
Inspection Decision Dimension,dim,draft,Quyết định thanh tra kiểm tra — số quyết định/tên/ngày ra quyết định/ngày công bố/mã kế hoạch (nullable cho đột xuất). SCD2,Inspection Decision,
Complaint Petition Dimension,dim,draft,Đơn thư khiếu nại tố cáo phản ánh kiến nghị — mã đơn/tên đơn/tên người gửi/nặc danh/ngày viết/ngày tiếp nhận. SCD2,Complaint Petition,
Fact Inspection Case,fact,draft,Event fact hồ sơ thanh tra kiểm tra 1 row per hồ sơ latest state với 2 mốc thời gian Received Date và Status As Of Date. Phục vụ dashboard Thanh tra và Kiểm tra,Inspection Case,Calendar Date Dimension.Received Date Dimension Id | Calendar Date Dimension.Status As Of Date Dimension Id | Inspection Case Dimension.Inspection Case Dimension Id | Inspection Subject Dimension.Inspection Subject Dimension Id | Inspection Decision Dimension.Inspection Decision Dimension Id | Classification Dimension.Case Status Dimension Id | Classification Dimension.Inspection Type Dimension Id | Classification Dimension.Inspection Schedule Type Dimension Id
Fact Inspection Case Violation,fact,draft,Event fact kết luận vi phạm thanh tra kiểm tra 1 row per kết luận per hành vi per hình thức phạt. Phục vụ biểu đồ cơ cấu hành vi và cơ cấu đối tượng,Inspection Case Conclusion,Calendar Date Dimension.Conclusion Issue Date Dimension Id | Inspection Case Dimension.Inspection Case Dimension Id | Inspection Subject Dimension.Inspection Subject Dimension Id | Classification Dimension.Violation Type Dimension Id | Classification Dimension.Penalty Type Dimension Id | Classification Dimension.Inspection Type Dimension Id
Fact Inspection Penalty Decision,fact,draft,Event fact kết luận xử phạt 1 row per kết luận xử phạt. Quy ước 1 kết luận = 1 hành vi vi phạm. Source filter Penalty Amount > 0 OR Penalty Type Code IS NOT NULL. Phục vụ dashboard Xử phạt và báo cáo TT01,Inspection Case Conclusion,Calendar Date Dimension.Signing Date Dimension Id | Inspection Case Dimension.Inspection Case Dimension Id | Inspection Subject Dimension.Inspection Subject Dimension Id | Classification Dimension.Violation Type Dimension Id | Classification Dimension.Penalty Type Dimension Id | Classification Dimension.Case Status Dimension Id
Fact Complaint Petition,fact,draft,Event fact đơn thư 1 row per đơn thư tiếp nhận. Luồng DT độc lập với luồng TT và GS. Phục vụ dashboard Tình hình Đơn thư,Complaint Petition,Calendar Date Dimension.Submission Date Dimension Id | Complaint Petition Dimension.Complaint Petition Dimension Id | Classification Dimension.Petition Type Dimension Id | Classification Dimension.Petition Status Dimension Id | Classification Dimension.Complainant Type Dimension Id
