kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_QLCB_1,CHÀO BÁN PHÁT HÀNH,Nhóm 1 — Tình hình thực hiện chào bán phát hành theo ngành,Ngày,Chiều,QLCB,Fact Securities Offering Snapshot,Certificate Date Dimension Id,SLICER,JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_securities_offering_snpst.certificate_dt_dim_id,BA cập nhật 2026-08-11: đổi từ Official Letter Date sang Certificate Date
K_QLCB_2,CHÀO BÁN PHÁT HÀNH,Nhóm 1 — Tình hình thực hiện chào bán phát hành theo ngành,Ngành,Chiều,QLCB,Fact Securities Offering Snapshot,Public Company Dimension Id,SLICER,"JOIN public_company_dim ON public_company_dim.public_company_dim_id = fct_securities_offering_snpst.public_company_dim_id, GROUP BY public_company_dim.business_line_level_1_code",
K_QLCB_3,CHÀO BÁN PHÁT HÀNH,Nhóm 1 — Tình hình thực hiện chào bán phát hành theo ngành,Giá trị Cấp phép,Base,QLCB,Fact Securities Offering Snapshot,Total Expected Amount,MEASURE,SUM(fct_securities_offering_snpst.total_expected_amt),
K_QLCB_4,CHÀO BÁN PHÁT HÀNH,Nhóm 1 — Tình hình thực hiện chào bán phát hành theo ngành,Giá trị Huy động thành công,Base,QLCB,Fact Securities Offering Snapshot,Total Collected Amount,MEASURE,SUM(fct_securities_offering_snpst.total_collected_amt),
K_QLCB_5,CHÀO BÁN PHÁT HÀNH,Nhóm 1 — Tình hình thực hiện chào bán phát hành theo ngành,Chưa thành công,Phái sinh,QLCB,,,DERIVED,SUM(fct_securities_offering_snpst.total_expected_amt) - SUM(fct_securities_offering_snpst.total_collected_amt),Tính ở presentation layer
K_QLCB_6,CHÀO BÁN PHÁT HÀNH,Nhóm 2 — Giá trị cấp phép chào bán phát hành theo ngành,Loại hình phát hành,Chiều,QLCB,Fact Securities Offering Plan Snapshot,Offering Method Dimension Id,SLICER,"JOIN offering_method_dim ON offering_method_dim.offering_method_dim_id = fct_securities_offering_plan_snpst.offering_method_dim_id, GROUP BY offering_method_dim.offering_method_nm","offering_method_nm là tên gốc (join Classification Value, không gom nhóm) theo đúng HLD K_QLCB_6 — khác offering_method_group_nm (đã gom 6 nhóm) dùng ở Nhóm 3/K_QLCB_13"
K_QLCB_7,CHÀO BÁN PHÁT HÀNH,Nhóm 2 — Giá trị cấp phép chào bán phát hành theo ngành,Giá trị cấp phép — Công chúng,Base,QLCB,Fact Securities Offering Plan Snapshot,Total Expected Amount Snapshot,MEASURE,SUM(fct_securities_offering_plan_snpst.total_expected_amt_snpst),
K_QLCB_7,CHÀO BÁN PHÁT HÀNH,Nhóm 2 — Giá trị cấp phép chào bán phát hành theo ngành,Giá trị cấp phép — Công chúng,Base,QLCB,Fact Securities Offering Plan Snapshot,Offering Method Dimension Id,FILTER,"offering_method_dim.offering_method_code IN ('1','2','3','4')",
K_QLCB_8,CHÀO BÁN PHÁT HÀNH,Nhóm 2 — Giá trị cấp phép chào bán phát hành theo ngành,Giá trị cấp phép — Riêng lẻ,Base,QLCB,Fact Securities Offering Plan Snapshot,Total Expected Amount Snapshot,MEASURE,SUM(fct_securities_offering_plan_snpst.total_expected_amt_snpst),
K_QLCB_8,CHÀO BÁN PHÁT HÀNH,Nhóm 2 — Giá trị cấp phép chào bán phát hành theo ngành,Giá trị cấp phép — Riêng lẻ,Base,QLCB,Fact Securities Offering Plan Snapshot,Offering Method Dimension Id,FILTER,offering_method_dim.offering_method_code = '5',
