"kpi_id","tab","nhom","kpi_name","tinh_chat","source_module","mart_table","mart_column","column_role","logic","ghi_chu"
"K_FMS_1","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Quỹ đầu tư chứng khoán","Base","FMS","Fact Fund Management Company Snapshot","Investment Fund Count","MEASURE","SELECT fct_fnd_mgt_co_snpst.ivsm_fnd_cnt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","COUNT db ← FMS.FUNDS"
"K_FMS_1","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Quỹ đầu tư chứng khoán","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_2","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Hợp đồng ủy thác quản lý danh mục","Base","FMS","Fact Fund Management Company Snapshot","Total Discretionary Contract Count","MEASURE","SELECT fct_fnd_mgt_co_snpst.tot_dscr_ctr_cnt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","COUNT db ← FMS.INVESACC"
"K_FMS_2","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Hợp đồng ủy thác quản lý danh mục","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_3","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Tổng giá trị tài sản quản lý (AUM)","Base","FMS","Fact Fund Management Company Snapshot","Total AUM Amount","MEASURE","SELECT fct_fnd_mgt_co_snpst.tot_aum_amt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","PENDING O_FMS_1: cell code AUM BC tình hình HĐ chưa profile"
"K_FMS_3","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Tổng giá trị tài sản quản lý (AUM)","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_4","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","CTQLQ đang hoạt động","Base","FMS","Fact Fund Management Company Snapshot","Active Company Count","MEASURE","SELECT fct_fnd_mgt_co_snpst.actv_co_cnt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","COUNT db ← FMS.SECURITIES WHERE Life_Cycle_Status = đang HĐ"
"K_FMS_4","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","CTQLQ đang hoạt động","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_5","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Văn phòng đại diện CTQLQ NN tại VN","Base","FMS","Fact Fund Management Company Snapshot","Foreign Org Unit Rep Office Count","MEASURE","SELECT fct_fnd_mgt_co_snpst.frgn_ou_rep_ofc_cnt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","PENDING O_FMS_7: chờ xác nhận phân biệt VPĐD/CN từ FMS.FORBRCH"
"K_FMS_5","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Văn phòng đại diện CTQLQ NN tại VN","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_6","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Đại lý phân phối CCQ","Base","FMS","Fact Fund Management Company Snapshot","Distribution Agent Count","MEASURE","SELECT fct_fnd_mgt_co_snpst.dstr_agnt_cnt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","COUNT db ← FMS.AGENCIES"
"K_FMS_6","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Đại lý phân phối CCQ","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_7","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Chi nhánh CTQLQ NN tại VN","Base","FMS","Fact Fund Management Company Snapshot","Foreign Org Unit Branch Count","MEASURE","SELECT fct_fnd_mgt_co_snpst.frgn_ou_brch_cnt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","PENDING O_FMS_7: chờ xác nhận phân biệt VPĐD/CN từ FMS.FORBRCH"
"K_FMS_7","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Chi nhánh CTQLQ NN tại VN","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_8","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Quỹ hưu trí","Base","FMS","Fact Fund Management Company Snapshot","Retirement Fund Count","MEASURE","SELECT fct_fnd_mgt_co_snpst.retmt_fnd_cnt WHERE fct_fnd_mgt_co_snpst.snpst_dt_dim_id IN (SELECT cdr_dt_dim.cdr_dt_dim_id FROM cdr_dt_dim WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M)","PENDING O_FMS_10: chờ profile Fund_Type_Code = Quỹ hưu trí"
"K_FMS_8","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Quỹ hưu trí","Base","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","FILTER","JOIN cdr_dt_dim ON cdr_dt_dim.cdr_dt_dim_id = fct_fnd_mgt_co_snpst.snpst_dt_dim_id WHERE cdr_dt_dim.yr = :Y AND cdr_dt_dim.mo = :M",""
"K_FMS_9","TỔNG QUAN CTQLQ","Nhóm 1 — Thống kê chung","Tháng","Chiều","FMS","Fact Fund Management Company Snapshot","Snapshot Date Dimension Id","SLICER","GROUP BY cdr_dt_dim.yr, cdr_dt_dim.mo","Slicer tháng/năm"
