kpi_id,tab,nhom,kpi_name,tinh_chat,source_module,mart_table,mart_column,column_role,logic,ghi_chu
K_NDTNN_5,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT mới,Base,FIMS,Fact Foreign Investor Registration,Investor Dimension Id,MEASURE,COUNT(DISTINCT Investor Dimension Id),Đếm NĐT đăng ký MSGD mới trong kỳ YTD
K_NDTNN_5,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT mới,Base,FIMS,Fact Foreign Investor Registration,Registration Date,FILTER,Registration Date BETWEEN YYYYMMDD(01/01/Year(selected_date)) AND YYYYMMDD(selected_date),YTD — đếm event trong khoảng ngày
K_NDTNN_5_YOY,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,YoY% NĐT mới,Derived,FIMS,,,DERIVED,(K_NDTNN_5[Year=Y] − K_NDTNN_5[Year=Y−1]) / K_NDTNN_5[Year=Y−1] × 100%,Tính ở presentation layer
K_NDTNN_6,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT Cá nhân mới,Base,FIMS,Fact Foreign Investor Registration,Investor Dimension Id,MEASURE,COUNT(DISTINCT Investor Dimension Id),K_NDTNN_6 là partition của K_NDTNN_5 theo ObjectType
K_NDTNN_6,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT Cá nhân mới,Base,FIMS,Fact Foreign Investor Registration,Registration Date,FILTER,Registration Date BETWEEN YYYYMMDD(01/01/Year(selected_date)) AND YYYYMMDD(selected_date),YTD
K_NDTNN_6,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT Cá nhân mới,Base,FIMS,Foreign Investor Dimension,Investor Object Type Code,FILTER,Foreign Investor Dimension.Investor Object Type Code = 'INDIVIDUAL',JOIN qua Investor Dimension Id
K_NDTNN_7,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT Tổ chức mới,Base,FIMS,Fact Foreign Investor Registration,Investor Dimension Id,MEASURE,COUNT(DISTINCT Investor Dimension Id),K_NDTNN_7 = K_NDTNN_5 − K_NDTNN_6 (partition disjoint)
K_NDTNN_7,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT Tổ chức mới,Base,FIMS,Fact Foreign Investor Registration,Registration Date,FILTER,Registration Date BETWEEN YYYYMMDD(01/01/Year(selected_date)) AND YYYYMMDD(selected_date),YTD
K_NDTNN_7,GIAO DỊCH,Nhóm 1 — Tăng trưởng NĐT mới,Tăng trưởng NĐT Tổ chức mới,Base,FIMS,Foreign Investor Dimension,Investor Object Type Code,FILTER,"Foreign Investor Dimension.Investor Object Type Code IN ('FUND', 'OTHER_ORG')",JOIN qua Investor Dimension Id
K_NDTNN_23,GIÁM SÁT DÒNG VỐN,Nhóm 3 — Dòng tiền vào / ra / ròng,Dòng tiền vào,Base,FIMS,Fact Foreign Investor Capital Flow,Capital Amount,MEASURE,SUM(Capital Amount) WHERE Event Type Code = 'IN',Lọc sự kiện dòng tiền vào
K_NDTNN_23,GIÁM SÁT DÒNG VỐN,Nhóm 3 — Dòng tiền vào / ra / ròng,Dòng tiền vào,Base,FIMS,Fact Foreign Investor Capital Flow,Event Type Code,FILTER,= 'IN',Phân biệt chiều: IN = tiền vào
K_NDTNN_23,GIÁM SÁT DÒNG VỐN,Nhóm 3 — Dòng tiền vào / ra / ròng,Dòng tiền vào,Base,FIMS,Fact Foreign Investor Capital Flow,Report Date,FILTER,Report Date BETWEEN from_date AND to_date,Lọc theo date range picker
K_NDTNN_24,GIÁM SÁT DÒNG VỐN,Nhóm 3 — Dòng tiền vào / ra / ròng,Dòng tiền ra,Base,FIMS,Fact Foreign Investor Capital Flow,Capital Amount,MEASURE,SUM(Capital Amount) WHERE Event Type Code = 'OUT',Lọc sự kiện dòng tiền ra
K_NDTNN_24,GIÁM SÁT DÒNG VỐN,Nhóm 3 — Dòng tiền vào / ra / ròng,Dòng tiền ra,Base,FIMS,Fact Foreign Investor Capital Flow,Event Type Code,FILTER,= 'OUT',Phân biệt chiều: OUT = tiền ra
K_NDTNN_24,GIÁM SÁT DÒNG VỐN,Nhóm 3 — Dòng tiền vào / ra / ròng,Dòng tiền ra,Base,FIMS,Fact Foreign Investor Capital Flow,Report Date,FILTER,Report Date BETWEEN from_date AND to_date,Lọc theo date range picker
K_NDTNN_25,GIÁM SÁT DÒNG VỐN,Nhóm 3 — Dòng tiền vào / ra / ròng,Dòng tiền ròng,Derived,FIMS,,,DERIVED,K_NDTNN_23 − K_NDTNN_24,Tính ở presentation layer
K_NDTNN_25b,GIÁM SÁT DÒNG VỐN,Nhóm 4 — Tương quan Net Flow,Dòng tiền ròng lũy kế (tháng),Derived,FIMS,Fact Foreign Investor Capital Flow,Capital Amount,MEASURE,SUM(Capital Amount WHERE Event Type Code='IN') − SUM(Capital Amount WHERE Event Type Code='OUT') GROUP BY Calendar Date Dimension.Month,Reuse Fact Capital Flow — aggregate by tháng
K_NDTNN_25b,GIÁM SÁT DÒNG VỐN,Nhóm 4 — Tương quan Net Flow,Dòng tiền ròng lũy kế (tháng),Derived,FIMS,Fact Foreign Investor Capital Flow,Report Date,FILTER,Report Date BETWEEN from_date AND to_date,Lọc theo date range
K_NDTNN_26,GIÁM SÁT DÒNG VỐN,Nhóm 5 — Dòng vốn đầu tư gián tiếp,Dòng vốn ròng,Derived,FIMS,Fact Foreign Investor Capital Flow,Capital Amount,MEASURE,SUM(Capital Amount WHERE Event Type Code='IN') − SUM(Capital Amount WHERE Event Type Code='OUT') GROUP BY Calendar Date Dimension.Month,Aggregate by tháng / loại hình / quốc gia
