Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
ActionLogs,Id,ID định danh (tự động tăng),PK,
ActionLogs,UserId,ID tài khoản thao tác,FK,FK → Users.Id
ActionLogs,ClientMachine,Địa chỉ IP máy thực hiện,,
ActionLogs,Detail,Mô tả nội dung thao tác,,
ActionLogs,CreatedAt,Ngày tạo,,
ApplicationDocuments,Id,Mã định danh tài liệu hồ sơ (tự động tăng),PK,
ApplicationDocuments,ApplicationId,Mã hồ sơ,FK,FK → Applications.Id
ApplicationDocuments,DocumentId,Mã tài liệu,FK,FK → Documents.Id
ApplicationDocuments,Description,Mô tả,,
ApplicationDocuments,FileName,Tên file,,
ApplicationDocuments,Format,Loại file,,
ApplicationDocuments,FilePath,Đường dẫn tệp,,
ApplicationDocuments,FileSize,Dung lượng file,,
ApplicationDocuments,AssigneeId,ID người thẩm định,FK,FK → Users.Id
ApplicationDocuments,AppraisaledAt,Ngày thẩm định,,
ApplicationDocuments,Note,Ghi chú,,
ApplicationDocuments,DocumentName,Tên tài liệu,,
ApplicationDocuments,IsInvalid,Cờ hợp lệ,,
ApplicationDocuments,IsIncomplete,Cờ hoàn thành,,
ApplicationDocuments,Status,Trạng thái thẩm định,,
ApplicationDocuments,CreatedAt,Ngày tạo,,
ApplicationFees,Id,ID dữ liệu (tự động tăng),PK,
ApplicationFees,ApplicationId,Mã hồ sơ,FK,FK → Applications.Id
ApplicationFees,FeeType,Loại phí,,
ApplicationFees,Amount,Số tiền (VNĐ),,
ApplicationFees,Status,Trạng thái thanh toán,,
ApplicationFees,CreatedAt,Ngày tạo,,
ApplicationFees,UpdatedAt,Ngày cập nhật,,
ApplicationLogs,Id,ID dữ liệu (tự động tăng),PK,
ApplicationLogs,ApplicationId,Mã hồ sơ,FK,FK → Applications.Id
ApplicationLogs,StatusId,Mã trạng thái,FK,FK → ApplicationStatuses.Id
ApplicationLogs,UserId,ID người thực hiện,FK,FK → Users.Id
ApplicationLogs,Note,Ghi chú,,
ApplicationLogs,CreatedAt,Ngày tạo,,
Applications,Id,Mã định danh hồ sơ (tự động tăng),PK,
Applications,CertificateId,Mã chứng chỉ,FK,FK → Certificates.Id
Applications,ProfessionalId,Mã người hành nghề,FK,FK → Professionals.Id
Applications,StatusId,Mã trạng thái hồ sơ,FK,FK → ApplicationStatuses.Id
Applications,CertificateRecordId,ID chứng chỉ hành nghề,FK,FK → CertificateRecords.Id
Applications,PreviousCertificateId,ID loại chứng chỉ trước đó,,
Applications,PreviousCertificateRecordId,ID chứng chỉ hành nghề trước đó,,
Applications,RegistrationType,Loại đăng ký,,
Applications,ApplicationType,Loại hồ sơ,,
Applications,ApplicationCode,Mã hồ sơ,,
Applications,Title,Tiêu đề hồ sơ,,
Applications,SubmissionDate,Ngày nộp,,
Applications,SupplementDate,Ngày bổ sung,,
Applications,ReissueReason,Lý do cấp,,
Applications,RejectionReason,Lý do từ chối,,
