STT,Bảng,Cột,Loại vấn đề,Mô tả trong tài liệu thiết kế,Thực tế trên CSDL UAT,Câu hỏi cần làm rõ,Trạng thái
1,ACTION_LOGS,SUCCESS_FLAG -> IS_SUCCESS,Doi ten cot (da ap dung theo DDL UAT),SUCCESS_FLAG,IS_SUCCESS (score=0.64),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
2,APPLICATIONS,CERTIFICATE_RECORD_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
3,APPLICATIONS,EXAM_SESSION_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
4,APPLICATIONS,PREVIOUS_CERTIFICATE_RECORD_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
5,APPLICATIONS,PROFESSIONAL_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
6,APPLICATIONS,DATA_EXPLOITABLE -> IS_DATA_EXPLOITABLE,Doi ten cot (da ap dung theo DDL UAT),DATA_EXPLOITABLE,IS_DATA_EXPLOITABLE (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
7,APPLICATIONS,VIOLATED -> IS_VIOLATED,Doi ten cot (da ap dung theo DDL UAT),VIOLATED,IS_VIOLATED (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
8,APPLICATIONS,MCDT_CONTENT_ITEM_ID,Cot moi (chua co trong tai lieu),(không có),NVARCHAR2(100) ,Xac nhan y nghia nghiep vu cua cot moi va bo sung mo ta,Chờ xác nhận
9,APPLICATION_DOCUMENTS,ASSIGNEE_ID,Sai khoa (PK/FK),FK,(trong),Xac nhan vai tro khoa cua cot theo DDL UAT,Chờ xác nhận
10,APPLICATION_DOCUMENTS,RECORD_STATUS -> STATUS,Doi ten cot (da ap dung theo DDL UAT),RECORD_STATUS,STATUS (score=0.95),"Xac nhan ten cot vat ly da duoc cap nhat, y nghia nghiep vu giu nguyen",Đã áp dụng
