STT,Tên bảng,Ý nghĩa bảng
1,AUDITOR,"Danh sách kiểm toán viên được UBCKNN chấp thuận: thuộc công ty kiểm toán nào, số GCN hành nghề, ngày chấp thuận/hủy"
2,AUDIT_FIRM,"Hồ sơ tổ chức kiểm toán được UBCKNN chấp thuận kiểm toán cho đơn vị có lợi ích công chúng: số QĐ, ngày QĐ, MST, số lượng KTV"
3,CATALOG,"Danh mục điện tử dùng chung trong phân hệ KNT: mã, tên, nhóm danh mục"
4,CATALOG_GROUP,Nhóm danh mục điện tử: phân nhóm các danh mục dùng chung trong hệ thống KNT
5,CAT_ORG_UNIT,"Danh mục đơn vị tổ chức: UBCKNN, Cục Thuế, Bộ Tài chính và các đơn vị báo cáo trong hệ thống"
6,CAT_POSITION,Danh mục chức vụ: dùng cho phân loại nhân sự trong hệ thống KNT
7,CAT_VIOLATION_ACT,"Danh mục hành vi vi phạm pháp luật chứng khoán: mã, tên, văn bản pháp lý áp dụng và xử lý"
8,CHUCNANG,
9,COMPANY_INFO,"Thông tin công ty tham gia thị trường chứng khoán gửi sang Cục Thuế: tên, MST, loại công ty, vốn, người đại diện, thông tin niêm yết"
10,CONFIG_PARAM,"Tham số cấu hình nghiệp vụ hệ thống KNT: mã tham số, giá trị ENUM, loại báo cáo, mã hệ thống tương ứng"
11,DB_LOG,"Nhật ký kỹ thuật ghi nhận sự kiện database: mã, giá trị và thời gian tạo"
12,HIGH_RISK_ENTERPRISE,"Danh sách doanh nghiệp rủi ro cao về thuế do Cục Thuế cung cấp: MST, tên, địa chỉ, cơ quan thuế quản lý, năm đánh giá"
13,INDICATOR_MAPPING,Ánh xạ mã chỉ tiêu giữa tờ khai UBCKNN và Cục Thuế theo từng sheet biểu mẫu
14,INFO_REQUEST_DETAIL,"Chi tiết yêu cầu thông tin từ Cục Thuế gửi UBCKNN: tên yêu cầu, MST, trạng thái xử lý"
15,INVOICE_DETAIL,Chi tiết hóa đơn trong thông tin cưỡng chế ngừng sử dụng hóa đơn do Cục Thuế cung cấp
16,LNK_GROUP_FUNCTION,Phân quyền chức năng cho nhóm người dùng: nhóm nào được truy cập chức năng nào
17,LNK_USER_GROUP,Liên kết người dùng với nhóm người dùng trong hệ thống KNT
18,LOG_MQ,"Nhật ký giao tiếp qua Message Queue (MQ): ghi nhận lỗi, nội dung message, mã giao dịch giữa UBCKNN và Cục Thuế"
19,LOG_REQUEST_SSC,"Nhật ký yêu cầu UBCKNN gửi sang Cục Thuế: mã gói tin, MST, trạng thái, ngày yêu cầu"
20,LOG_SEND_MOF,"Nhật ký gửi dữ liệu sang Bộ Tài chính (BTC): mã gói tin, trạng thái, ngày gửi, msg_id"
21,MSG_PACKET,"Gói tin trao đổi dữ liệu giữa UBCKNN và Cục Thuế/Bộ Tài chính: nội dung XML, trạng thái gửi/nhận, mã giao dịch"
22,MSG_PACKET_CONFIG,"Cấu hình gói tin trao đổi: định nghĩa chức năng, đơn vị, hệ thống, phương thức truyền nhận dữ liệu"
23,PENALTY_DECISION,"Quyết định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán: số QĐ, đối tượng, hành vi vi phạm, tổng tiền phạt"
24,REPORT_COMPARISON,Kết quả đối chiếu dữ liệu báo cáo tài chính giữa UBCKNN và Cục Thuế: so sánh từng chỉ tiêu theo gói tin
25,REPORT_CYCLE,"Danh mục chu kỳ báo cáo: mã, giá trị, tháng và năm tương ứng"
26,REPORT_FORM,Danh mục biểu mẫu báo cáo tài chính định nghĩa trong hệ thống KNT
27,REPORT_FORM_INDICATOR,Liên kết chỉ tiêu với biểu mẫu báo cáo: thứ tự và tên sheet tương ứng
28,REPORT_FORM_TEMPLATE,Ánh xạ chỉ tiêu giữa biểu mẫu báo cáo UBCKNN và tờ khai thuế của Cục Thuế (dùng để đối chiếu dữ liệu)
29,REPORT_INDICATOR,Danh mục chỉ tiêu báo cáo: mã và tên chỉ tiêu dùng trong các biểu mẫu báo cáo
30,SCHEDULE_CONFIG,"Lịch thiết lập truyền/nhận dữ liệu tự động với Cục Thuế và Bộ Tài chính: tần suất, giờ chạy, biểu thức CRON"
31,SSC_PENALTY,"Thông tin xử phạt vi phạm hành chính trong lĩnh vực chứng khoán của UBCKNN gửi Cục Thuế: số QĐ, đối tượng, hành vi, tiền phạt"
32,SSC_REPORT,Báo cáo tài chính của đơn vị do UBCKNN tổng hợp từ phân hệ IDS/SCMS/FMS để gửi Cục Thuế và Bộ Tài chính
33,SSC_REPORT_DETAIL,"Chi tiết chỉ tiêu trong báo cáo tài chính UBCKNN: giá trị đầu năm, cuối năm, năm nay, năm trước, thông tin kiểm toán"
34,SUBJECT_PROFILE,Hồ sơ đối tượng bị thanh tra/kiểm tra: tổ chức hoặc cá nhân tham gia thị trường chứng khoán
35,SYS_AUDIT_LOG,"Nhật ký thao tác hệ thống KNT: ghi nhận hành động của người dùng (đăng nhập, xem, sửa dữ liệu...)"
36,SYS_EXPORT_SCHEMA_01,Bảng kỹ thuật Oracle Data Pump Export schema 01 (không dùng cho nghiệp vụ)
37,SYS_EXPORT_SCHEMA_02,Bảng kỹ thuật Oracle Data Pump Export schema 02 (không dùng cho nghiệp vụ)
38,SYS_EXPORT_SCHEMA_03,Bảng kỹ thuật Oracle Data Pump Export schema 03 (không dùng cho nghiệp vụ)
39,SYS_FUNCTION_ROLE,"Danh sách chức năng hệ thống KNT kèm phân quyền role: tên, đường dẫn, role áp dụng"
40,SYS_HENV,Bảng kỹ thuật lưu trữ biến môi trường hệ thống (CLOB và DATE)
41,SYS_PARAM,"Tham số cấu hình hệ thống KNT: mã, giá trị, kiểu dữ liệu, trạng thái (thay thế bảng THAM_SO)"
42,SYS_USER,Tài khoản người dùng hệ thống KNT: cán bộ UBCKNN đăng nhập quản lý dữ liệu trao đổi với Cục Thuế và Bộ Tài chính
43,SYS_USER_GROUP,Nhóm người dùng hệ thống KNT: dùng để phân quyền truy cập chức năng
44,TAX_ENFORCEMENT_DEBT,"Thông tin quyết định cưỡng chế nợ thuế do Cục Thuế ban hành: phương thức cưỡng chế, số tiền, tài sản kê biên"
45,TAX_ENFORCEMENT_INVOICE,"Thông tin quyết định cưỡng chế ngừng sử dụng hóa đơn do Cục Thuế ban hành: số QĐ, đối tượng bị cưỡng chế, thời gian hiệu lực"
46,TAX_REGISTRATION_INFO,"Thông tin đăng ký thuế do Cục Thuế cung cấp: địa chỉ, vốn điều lệ, người đại diện, trạng thái hoạt động, tạm ngừng kinh doanh"
47,TAX_REG_ADDRESS_TYPE,"Loại địa chỉ trong thông tin đăng ký thuế của doanh nghiệp: địa chỉ trụ sở, địa chỉ kinh doanh, địa chỉ khác"
48,TAX_REG_BUSINESS_LINE,"Ngành nghề kinh doanh trong thông tin đăng ký thuế: mã ngành, tên ngành theo mã gói tin"
49,TAX_REG_REPRESENTATIVE,"Thông tin người đại diện/chủ hộ kinh doanh trong đăng ký thuế: họ tên, chức vụ, loại giấy tờ, số giấy tờ"
50,TAX_REPORT,"Báo cáo tài chính do Cục Thuế cung cấp cho UBCKNN: thông tin tờ khai, kỳ kê khai, MST, thông tin kiểm toán"
51,TAX_REPORT_DETAIL,"Chi tiết chỉ tiêu trong báo cáo tài chính từ Cục Thuế: giá trị đầu năm, cuối năm, năm nay, năm trước theo từng sheet"
52,TAX_VIOLATION_HANDLING,"Thông tin xử lý vi phạm pháp luật về thuế do Cục Thuế cung cấp: số QĐ xử lý, tên đối tượng, kỳ thanh tra, tiền phạt"
53,VIOLATION_ACT,"Chi tiết hành vi vi phạm trong hồ sơ thanh tra hoặc quyết định xử phạt: mã CK, số tài khoản, số tiền phạt, biện pháp khắc phục"
