Bảng;STT;Logical Name;Physical Name;Trường;Định nghĩa;Giá trị
HOSE Order Book;1;Trade Date;;Trade Date;Ngày giao dịch theo thị trường chứng khoán;
HOSE Order Book;2;Market ID;;Market ID;Mã thị trường chứng khoán;"STO : HoSE Stock Market là giao dịch Cổ phiếu niêm yết trên HOSE
BDO : HoSE Bond Market là giao dịch trái phiếu (thường là doanh nghiệp hoặc một số loại đặc biệt) trên HOSE
RPO : HoSE Repo Market là giao dịch mua bán có cam kết mua lại trên thị trường HOSE.
STX : HNX Listed Stock Market là giao dịch Cổ phiếu niêm yết trên HNX
UPX : HNX UPCOM Stock Market là cổ phiếu chưa niêm yết chính thức (UPCOM) trên HNX
BDX : HNX Government Bond Market là giao dịch Trái phiếu Chính phủ trên HNX
DVX : HNX Derivatives Market là Thị trường phái sinh trên HNX
HCX : HNX Corporate Bond Market là giao dịch trái phiếu doanh nghiệp riêng lẻ trên HNX"
HOSE Order Book;3;Symbol;;Symbol;Mã chứng khoán;
HOSE Order Book;4;Currency;;Currency;Đơn vị tiền tệ;
HOSE Order Book;5;Board Type;;Board Type;Loại bảng giao dịch mà lệnh được phân loại vào;"G1 : Main => Phiên giao dịch chính khớp lệnh liên tục
Ví dụ: Có người mua CP giá 25 và có người bán CP đó giá 25 thì sẽ khớp lệnh ngay
90% giao dịch ở dạng G1
G2 : Pre open => Phiên định kỳ mở cửa (ATO), Khớp 1 lần để xác định giá mở cửa
Ví dụ: Giống như đứng xếp hàng trước khi chợ mở cửa, bạn đặt lệnh trước nhưng chưa mua bán được, phải đợi đến giờ mở cửa hệ thống sẽ chọn 1 giá chung để khớp. 
Mục tiêu: tìm giá mở cửa hợp lý
G3 : Post closing => Phiên sau đóng cửa (ATC / after-market) dùng để xác định giá đóng cửa
G4 : Odd lot => Giao dịch lô lẻ (< 100 cổ phiếu)
Ví dụ: Bình thường phải mua từ 100 CP, nhưng chỉ mua 23 cổ phiếu thì vào khu này
G7 : Buy-in => Giao dịch mua bắt buộc (Xảy ra trong tình huống có lỗi)
Ví dụ: Bạn đã bán cổ phiếu nhưng đến ngày giao hàng → bạn không có hàng để giao. Hệ thống bắt bạn đi mua lại bằng mọi giá để trả
G8 : Sell-out => Bán giải chấp / bán bắt buộc (Ngược với G7)
Ví dụ: Bạn vay tiền để đầu tư (margin) nhưng thua lỗ quá nhiều. Công ty chứng khoán sẽ tự động bán cổ phiếu của bạn để thu hồi tiền
T1 : Negotiation (regular) => Hai bên tự deal giá + khối lượng, không cần theo giá thị trường, không vào hệ thống khớp lệnh
Ví dụ: Bạn bán cho bạn mình 1 triệu cổ phiếu thì 2 bên tự deal giá
T4 : Negotiation (regular for Odd lot) => giống T1 nhưng cho lô lẻ (odd lot)
T2 : Negotiation (pre) => Giống T1 nhưng thỏa thuận trước giờ mở cửa
T3 : Negotiation (post) => Giống T1 nhưng thỏa thuận sau giờ giao dịch
T6 : Negotiation (post for Odd lot) => Giống T1 nhưng thỏa thuận sau giờ cho lô lẻ
R1 : Negotiation (Repo) => Giao dịch repo (mua bán có cam kết mua lại)
Ví dụ: Bán CP cho người khác nhưng vài ngày sau sẽ mua lại với giá cao hơn"
HOSE Order Book;6;Order Date;;Order Date;Ngày đặt lệnh của người thực hiện giao dịch;
HOSE Order Book;7;Order Time;;Order Time;Thời gian đặt lệnh của người thực hiện giao dịch;
HOSE Order Book;8;Session;;Session;Phiên giao dịch của thị trường chứng khoán;"00 — Pre-market opening session: Trước giờ mở cửa, Nhận lệnh nhưng chưa khớp
10 — Opening call auction session: Phiên khớp lệnh định kỳ mở cửa (ATO)
11 — Extension of opening call auction: Phiên gia hạn ATO, Dùng khi Cần thêm thời gian xác định giá Hoặc tránh thao túng phút cuối
20 — Continuous shifted auction session: Khớp lệnh liên tục (có điều chỉnh), Bắt đầu trading thực sự
21 — Extension of continuous session: Gia hạn phiên liên tục
25 — Buy-In: Phiên xử lý bắt buộc mua lại
30 — Closing single price auction session: Phiên ATC (đóng cửa)
40 — Continuous auction session: Khớp lệnh liên tục (chuẩn)
50 — Pre-market off-hour: Trước phiên ngoài giờ
60 — Post-market off-hour order receipt: Nhận lệnh ngoài giờ
65 — Post-market off-hours session: Giao dịch ngoài giờ
70 — Post-market off-hour (Call Auction): Đấu giá ngoài giờ
80 — Unit trading: Giao dịch lô lẻ
90 — Trading halt: Tạm dừng giao dịch
99 — Market closing: Đóng thị trường hoàn toàn"
HOSE Order Book;9;Modify/Cancel;;Modify/Cancel;Sửa/Hủy lệnh;"C - Cancel: Là lệnh hủy
M - Modify: Là lệnh sửa đổi
N - No: Không hủy/sửa đổi"
HOSE Order Book;10;Order Accept ID;;Order Accept #;Số thứ tự giao dịch được ghi nhận trên hệ thống của Sàn trong ngày giao dịch, theo từng mã chứng khoán;
HOSE Order Book;11;Orig Order Accept ID;;Orig Order Accept #;Số thứ tự giao dịch ban đầu (trước chỉnh sửa) được ghi nhận trên hệ thống của Sàn trong ngày giao dịch, theo từng mã chứng khoán;
HOSE Order Book;12;Side;;Side;Loại lệnh;"S: Sell - Bán
B: Buy - Mua"
HOSE Order Book;13;BRK ID;;BRK #;Mã/số công ty chứng khoán;
HOSE Order Book;14;BRK;;BRK;Tên công ty chứng khoán;
HOSE Order Book;15;PIN;;PIN;Mã PIN của tài khoản giao dịch;
HOSE Order Book;16;Acct No;;Acct No;Mã/Số tài khoản giao dịch của nhà đầu tư;
HOSE Order Book;17;Name;;Name;Tên nhà đầu tư/chủ tài khoản nhà đầu tư;
HOSE Order Book;18;Market Maker Order;;Market Maker Order;Lệnh đặt của nhà tạo lập thị trường;"Y - Yes: Là lệnh đặt của nhà tạo lập thị trường
N - No: Không phải là lệnh đặt của nhà tạo lập thị trường"
